city;year;people;air_general_level;net_salary;Avg_Age;ILM;birth;crimes;criminals;death;pens;preschool_child;length_of_roads;energy_consumption;Migration_Net;Housing_Stock;wage;workers;poverty level;housing price
Абакан;2015;173285.0;2;31857;37.51;9619;15.4;5002;2204;11.6;44.9;11.9;536.1;170.5;2273.0;23.9;37043.5;48.8;;
Азов;2015;82046.0;2;0;40.54;0;0.0;0;0;0.0;0.0;0.0;323.9;169.2;;23.7;0.0;0.0;;41725.27
Аксарайский;2015;3189.0;1;0;38.32;0;0.0;0;0;0.0;0.0;0.0;398.6;194.0;;21.0;0.0;0.0;;39845.39
Александровск-Сахалинский;2015;0.0;2;0;38.42;0;0.0;0;0;0.0;0.0;0.0;181.3;199.8;;24.9;0.0;0.0;;67802.1
Анадырь;2015;14326.0;-9;82868;34.51;16425;12.6;253;155;5.1;3.4;1.011;530.9;278.1;465.0;29.0;96357.9;9.4;;
Ангарск;2015;226374.0;2;33416;37.24;0;14.3;5234;1947;13.9;76.3;15.4;559.5;174.1;;23.8;38856.3;59.7;;43474.8
Апатиты;2015;57905.0;1;0;38.25;0;0.0;0;0;0.0;0.0;0.0;421.4;164.6;;26.2;0.0;0.0;;
Арзамас;2015;105352.0;1;21456;41.03;0;13.1;1439;638;12.7;0.0;5.8;167.6;212.9;-91.0;24.6;24948.6;31.9;;60777.17
Армянск;2015;22531.0;3;0;40.78;0;0.0;0;0;0.0;0.0;0.0;309.6;186.0;;14.4;;;;
Артем;2015;104694.0;1;30210;39.21;0;13.3;2888;1010;13.7;36.5;6.1;330.0;196.4;1464.0;22.2;35127.8;21.0;;53706.03
Архангельск;2015;350985.0;2;34678;39.8;14262;11.8;7432;3215;11.6;115.3;19.0;259.1;301.6;183.0;24.5;40323.7;97.8;;60126.56
Астрахань;2015;532699.0;1;26581;38.32;8932;14.5;7382;4501;11.8;134.5;26.9;475.4;200.5;-2447.0;24.3;30908.3;134.2;;39845.39
Ачинск;2015;106630.0;3;26136;38.0;0;14.1;2518;1139;14.5;37.4;6.3;363.2;187.3;-623.0;23.6;30391.1;29.6;;55976.87
Байкальск;2015;13323.0;1;0;37.24;0;0.0;0;0;0.0;0.0;0.0;174.9;210.9;;20.3;0.0;0.0;;43474.8
Балаково;2015;192104.0;1;20231;40.82;0;10.8;1925;1228;13.5;60.7;9.6;198.3;159.9;-649.0;26.5;23524.7;39.1;;38953.28
